auroc,auprc,f1,recall,precision,specificity,accuracy,tp,fp,tn,fn,fold,best_params
0.702922077922078,0.5624427842169777,0.4186046511627907,0.6428571428571429,0.3103448275862069,0.5454545454545454,0.5689655172413793,9,20,24,5,1,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.2, 'selector__k': 300}"
0.49025974025974023,0.32821759138456646,0.38461538461538464,0.35714285714285715,0.4166666666666667,0.8409090909090909,0.7241379310344828,5,7,37,9,2,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.2, 'selector__k': 700}"
0.7142857142857143,0.4561948679818082,0.5128205128205128,0.7142857142857143,0.4,0.6590909090909091,0.6724137931034483,10,15,29,4,3,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.5, 'selector__k': 'all'}"
0.6666666666666667,0.4413893380542195,0.3870967741935484,0.46153846153846156,0.3333333333333333,0.7333333333333333,0.6724137931034483,6,12,33,7,4,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.2, 'selector__k': 300}"
0.6958041958041957,0.38786803733193664,0.4375,0.5384615384615384,0.3684210526315789,0.7272727272727273,0.6842105263157895,7,12,32,6,5,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.8, 'selector__k': 300}"
0.7321428571428571,0.47760891720858123,0.5333333333333333,0.5714285714285714,0.5,0.8181818181818182,0.7586206896551724,8,8,36,6,6,"{'classifier__C': 100, 'classifier__l1_ratio': 0.2, 'selector__k': 'all'}"
0.6444805194805195,0.4128911899304555,0.4864864864864865,0.6428571428571429,0.391304347826087,0.6818181818181818,0.6724137931034483,9,14,30,5,7,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.2, 'selector__k': 300}"
0.702922077922078,0.37546900682948203,0.4375,0.5,0.3888888888888889,0.75,0.6896551724137931,7,11,33,7,8,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.2, 'selector__k': 300}"
0.635897435897436,0.3870305486055569,0.4375,0.5384615384615384,0.3684210526315789,0.7333333333333333,0.6896551724137931,7,12,33,6,9,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.8, 'selector__k': 300}"
0.7832167832167832,0.5335755030876981,0.5,0.6923076923076923,0.391304347826087,0.6818181818181818,0.6842105263157895,9,14,30,4,10,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.2, 'selector__k': 'all'}"
0.6931818181818181,0.5395082004821089,0.5185185185185185,0.5,0.5384615384615384,0.8636363636363636,0.7758620689655172,7,6,38,7,11,"{'classifier__C': 100, 'classifier__l1_ratio': 0.8, 'selector__k': 'all'}"
0.4253246753246753,0.21676573397061843,0.0,0.0,0.0,0.7727272727272727,0.5862068965517241,0,10,34,14,12,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.2, 'selector__k': 700}"
0.724025974025974,0.4359160714094067,0.4,0.42857142857142855,0.375,0.7727272727272727,0.6896551724137931,6,10,34,8,13,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.2, 'selector__k': 300}"
0.5914529914529915,0.34933188156872363,0.3333333333333333,0.46153846153846156,0.2608695652173913,0.6222222222222222,0.5862068965517241,6,17,28,7,14,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.8, 'selector__k': 500}"
0.6520979020979021,0.429602813644167,0.36363636363636365,0.46153846153846156,0.3,0.6818181818181818,0.631578947368421,6,14,30,7,15,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.2, 'selector__k': 300}"
